"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Pantheon","Middle",2,"0.9%","23.7%","34.4%","0%","50%",1,10,6,0.7,"36.8%","25.6%","50%",-293,-133,-14.5,6.9,"20.1%",295,"15.2%","17.2%",0.33,0.08
"Pantheon","Support",1,"0.5%","23.7%","34.4%","0%","0%",3,5,7,2,"71.4%","20.8%","0%",442,551,0,1.1,"2.5%",357,"15.4%","11.0%",1.65,0.14
"Pantheon","Top",2,"0.9%","23.7%","34.4%","100%","100%",8,8,14,2.8,"57.9%","33.3%","0%",-30,128,12.5,7.5,"21.6%",485,"26.1%","20.0%",0.36,0.2
"Pyke","Support",3,"1.4%","0.0%","1.4%","33%","100%",5,9,12,1.9,"68.0%","21.4%","67%",408,305,0.7,1.4,"3.8%",123,"8.5%","11.0%",2.82,0.69
"Quinn","Top",5,"2.3%","4.2%","6.5%","60%","100%",18,19,18,1.9,"66.7%","33.9%","40%",226,-123,1.4,8.8,"26.9%",635,"33.2%","24.8%",0.51,0.17
"Rakan","Support",31,"14.4%","10.7%","25.1%","42%","77%",18,86,226,2.8,"75.3%","22.1%","16%",-2,0,-7,0.9,"2.9%",154,"9.0%","8.5%",2.12,0.56
"Rek'Sai","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",1,2,0,0.5,"16.7%","14.3%","0%",-376,-311,-4,5,"13.3%",97,"7.9%","14.7%",0.33,0.48
"Rell","Support",82,"38.1%","41.9%","80.0%","46%","16%",51,272,590,2.4,"64.8%","26.1%","22%",-80,-72,0.7,1.1,"2.6%",133,"7.4%","8.2%",1.71,0.37
"Renekton","Middle",3,"1.4%","55.8%","81.9%","67%","33%",13,7,22,5,"63.6%","14.3%","33%",386,790,19,8.7,"26.2%",453,"20.3%","23.7%",0.45,0.43
"Renekton","Top",53,"24.7%","55.8%","81.9%","57%","19%",112,120,268,3.2,"56.3%","20.0%","36%",180,67,5.5,8.4,"24.1%",389,"21.3%","22.5%",0.35,0.3
"Rumble","Middle",1,"0.5%","1.4%","3.3%","100%","100%",3,2,7,5,"52.6%","40.0%","100%",623,542,11,9.3,"25.9%",711,"26.5%","22.8%",0.43,0.4
"Rumble","Top",3,"1.4%","1.4%","3.3%","33%","67%",3,8,21,3,"58.5%","15.7%","33%",75,-174,3.7,7,"19.2%",577,"26.4%","19.2%",0.52,0.07
"Ryze","Middle",4,"1.9%","0.0%","1.9%","25%","100%",9,11,17,2.4,"68.4%","16.7%","0%",226,237,7.5,10.2,"29.7%",384,"23.5%","27.0%",0.48,0.42
"Samira","ADC",61,"28.4%","20.9%","49.3%","43%","64%",267,140,203,3.4,"65.0%","17.0%","20%",-44,1,-1.9,9.1,"28.4%",356,"19.7%","26.1%",0.43,0.37
